date,year,month,month_name,variable,value,source_page,source_url,datatable_index,quarter,quarter_name
1981-12-01,1981,12,Dec,Inflation Headline (%) Year-on-Year,100.39,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1981-12-31,1981,,,Inflation Headline (%) Year-on-Year,101.71,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-01-01,1982,1,Jan,Inflation Headline (%) Year-on-Year,71.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-02-01,1982,2,Feb,Inflation Headline (%) Year-on-Year,40.86,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-03-01,1982,3,Mar,Inflation Headline (%) Year-on-Year,30.23,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-04-01,1982,4,Apr,Inflation Headline (%) Year-on-Year,24.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-05-01,1982,5,May,Inflation Headline (%) Year-on-Year,22.71,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-06-01,1982,6,Jun,Inflation Headline (%) Year-on-Year,17.69,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-07-01,1982,7,Jul,Inflation Headline (%) Year-on-Year,20.64,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-08-01,1982,8,Aug,Inflation Headline (%) Year-on-Year,13.73,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-09-01,1982,9,Sep,Inflation Headline (%) Year-on-Year,13.1,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-10-01,1982,10,Oct,Inflation Headline (%) Year-on-Year,11.54,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-11-01,1982,11,Nov,Inflation Headline (%) Year-on-Year,11.45,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-12-01,1982,12,Dec,Inflation Headline (%) Year-on-Year,16.69,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1982-12-31,1982,,,Inflation Headline (%) Year-on-Year,71.2,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-01-01,1983,1,Jan,Inflation Headline (%) Year-on-Year,32.52,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-02-01,1983,2,Feb,Inflation Headline (%) Year-on-Year,62.64,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-03-01,1983,3,Mar,Inflation Headline (%) Year-on-Year,82.52,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-04-01,1983,4,Apr,Inflation Headline (%) Year-on-Year,108.42,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-05-01,1983,5,May,Inflation Headline (%) Year-on-Year,147.69,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-06-01,1983,6,Jun,Inflation Headline (%) Year-on-Year,174.14,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-07-01,1983,7,Jul,Inflation Headline (%) Year-on-Year,141.06,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-08-01,1983,8,Aug,Inflation Headline (%) Year-on-Year,140.35,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-09-01,1983,9,Sep,Inflation Headline (%) Year-on-Year,137.76,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-10-01,1983,10,Oct,Inflation Headline (%) Year-on-Year,141.15,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-11-01,1983,11,Nov,Inflation Headline (%) Year-on-Year,145.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-12-01,1983,12,Dec,Inflation Headline (%) Year-on-Year,142.42,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1983-12-31,1983,,,Inflation Headline (%) Year-on-Year,32.52,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-01-01,1984,1,Jan,Inflation Headline (%) Year-on-Year,125.99,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-02-01,1984,2,Feb,Inflation Headline (%) Year-on-Year,117.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-03-01,1984,3,Mar,Inflation Headline (%) Year-on-Year,98.41,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-04-01,1984,4,Apr,Inflation Headline (%) Year-on-Year,74.17,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-05-01,1984,5,May,Inflation Headline (%) Year-on-Year,43.25,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-06-01,1984,6,Jun,Inflation Headline (%) Year-on-Year,23.88,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-07-01,1984,7,Jul,Inflation Headline (%) Year-on-Year,28.96,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-08-01,1984,8,Aug,Inflation Headline (%) Year-on-Year,24.27,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-09-01,1984,9,Sep,Inflation Headline (%) Year-on-Year,20.88,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-10-01,1984,10,Oct,Inflation Headline (%) Year-on-Year,13.8,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-11-01,1984,11,Nov,Inflation Headline (%) Year-on-Year,7.9,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-12-01,1984,12,Dec,Inflation Headline (%) Year-on-Year,5.99,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1984-12-31,1984,,,Inflation Headline (%) Year-on-Year,125.99,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-01-01,1985,1,Jan,Inflation Headline (%) Year-on-Year,8.66,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-02-01,1985,2,Feb,Inflation Headline (%) Year-on-Year,4.11,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-03-01,1985,3,Mar,Inflation Headline (%) Year-on-Year,3.35,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-04-01,1985,4,Apr,Inflation Headline (%) Year-on-Year,1.72,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-05-01,1985,5,May,Inflation Headline (%) Year-on-Year,1.14,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-06-01,1985,6,Jun,Inflation Headline (%) Year-on-Year,6.78,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-07-01,1985,7,Jul,Inflation Headline (%) Year-on-Year,10.18,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-08-01,1985,8,Aug,Inflation Headline (%) Year-on-Year,17.02,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-09-01,1985,9,Sep,Inflation Headline (%) Year-on-Year,17.44,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-10-01,1985,10,Oct,Inflation Headline (%) Year-on-Year,18.26,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-11-01,1985,11,Nov,Inflation Headline (%) Year-on-Year,20.47,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-12-01,1985,12,Dec,Inflation Headline (%) Year-on-Year,19.5,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1985-12-31,1985,,,Inflation Headline (%) Year-on-Year,8.66,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-01-01,1986,1,Jan,Inflation Headline (%) Year-on-Year,18.75,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-02-01,1986,2,Feb,Inflation Headline (%) Year-on-Year,19.56,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-03-01,1986,3,Mar,Inflation Headline (%) Year-on-Year,20.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-04-01,1986,4,Apr,Inflation Headline (%) Year-on-Year,21.6,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-05-01,1986,5,May,Inflation Headline (%) Year-on-Year,23.34,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-06-01,1986,6,Jun,Inflation Headline (%) Year-on-Year,23.15,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-07-01,1986,7,Jul,Inflation Headline (%) Year-on-Year,23.88,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-08-01,1986,8,Aug,Inflation Headline (%) Year-on-Year,23.93,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-09-01,1986,9,Sep,Inflation Headline (%) Year-on-Year,23.84,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-10-01,1986,10,Oct,Inflation Headline (%) Year-on-Year,28.94,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-11-01,1986,11,Nov,Inflation Headline (%) Year-on-Year,32.72,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-12-01,1986,12,Dec,Inflation Headline (%) Year-on-Year,33.34,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1986-12-31,1986,,,Inflation Headline (%) Year-on-Year,18.75,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-01-01,1987,1,Jan,Inflation Headline (%) Year-on-Year,33.44,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-02-01,1987,2,Feb,Inflation Headline (%) Year-on-Year,34.39,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-03-01,1987,3,Mar,Inflation Headline (%) Year-on-Year,37.49,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-04-01,1987,4,Apr,Inflation Headline (%) Year-on-Year,41.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-05-01,1987,5,May,Inflation Headline (%) Year-on-Year,42.34,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-06-01,1987,6,Jun,Inflation Headline (%) Year-on-Year,43.87,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-07-01,1987,7,Jul,Inflation Headline (%) Year-on-Year,45.0,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-08-01,1987,8,Aug,Inflation Headline (%) Year-on-Year,45.54,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-09-01,1987,9,Sep,Inflation Headline (%) Year-on-Year,45.91,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-10-01,1987,10,Oct,Inflation Headline (%) Year-on-Year,39.31,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-11-01,1987,11,Nov,Inflation Headline (%) Year-on-Year,35.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-12-01,1987,12,Dec,Inflation Headline (%) Year-on-Year,34.18,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1987-12-31,1987,,,Inflation Headline (%) Year-on-Year,33.44,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
