date,year,month,month_name,variable,value,source_page,source_url,datatable_index
2011-07-01,2011,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),1015.15,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011-08-01,2011,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),1204.0,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011-09-01,2011,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),1120.15,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011-10-01,2011,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),1193.03,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011-11-01,2011,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),900.09,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2011-12-01,2011,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),882.9,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-01-01,2012,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),1319.47,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-02-01,2012,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),1359.28,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-03-01,2012,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),1439.35,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-04-01,2012,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),1178.57,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-05-01,2012,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),1213.37,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-06-01,2012,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),1022.9,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-07-01,2012,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),828.74,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-08-01,2012,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),1009.04,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-09-01,2012,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),864.83,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-10-01,2012,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),1104.77,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-11-01,2012,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),1076.95,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2012-12-01,2012,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),1135.07,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-01-01,2013,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),1405.64,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-02-01,2013,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),1163.32,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-03-01,2013,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),1350.2,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-04-01,2013,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),1163.33,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-05-01,2013,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),1261.78,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-06-01,2013,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),1079.28,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-07-01,2013,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),1058.59,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-08-01,2013,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),950.77,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-09-01,2013,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),922.29,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-10-01,2013,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),973.91,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-11-01,2013,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),1199.49,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2013-12-01,2013,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),1223.32,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-01-01,2014,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),1114.61,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-02-01,2014,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),1186.48,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-03-01,2014,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),1282.35,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-04-01,2014,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),1138.46,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-05-01,2014,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),1141.46,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-06-01,2014,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),1224.58,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-07-01,2014,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),1005.92,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-08-01,2014,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),956.83,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-09-01,2014,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),1011.45,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-10-01,2014,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),987.48,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-11-01,2014,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),1079.8,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2014-12-01,2014,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),1087.35,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-01-01,2015,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),1044.72,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015-02-01,2015,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),971.8,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
