Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,col_3
1987,Inflation Headline (%) Year-on-Year,33.44,34.39,37.49,41.00,42.34,43.87,45.00,45.54,45.91,39.31,35.30,34.18,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1986,Inflation Headline (%) Year-on-Year,18.75,19.56,20.29,21.60,23.34,23.15,23.88,23.93,23.84,28.94,32.72,33.34,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1985,Inflation Headline (%) Year-on-Year,8.66,4.11,3.35,1.72,1.14,6.78,10.18,17.02,17.44,18.26,20.47,19.50,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1984,Inflation Headline (%) Year-on-Year,125.99,117.50,98.41,74.17,43.25,23.88,28.96,24.27,20.88,13.80,7.90,5.99,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1983,Inflation Headline (%) Year-on-Year,32.52,62.64,82.52,108.42,147.69,174.14,141.06,140.35,137.76,141.15,145.50,142.42,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1982,Inflation Headline (%) Year-on-Year,71.20,40.86,30.23,24.90,22.71,17.69,20.64,13.73,13.10,11.54,11.45,16.69,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1981,Inflation Headline (%) Year-on-Year,101.71,119.48,122.37,119.71,119.56,118.21,120.85,121.53,123.14,125.52,110.12,100.39,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1980,Inflation Headline (%) Year-on-Year,17.29,13.91,16.78,20.15,21.36,40.55,67.51,78.32,82.33,85.18,89.29,87.84,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1979,Inflation Headline (%) Year-on-Year,103.30,103.09,95.91,93.73,94.43,69.83,42.03,35.15,28.01,21.51,18.63,18.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1978,Inflation Headline (%) Year-on-Year,103.90,99.40,95.10,77.10,66.90,42.60,25.80,30.30,37.50,64.00,82.60,96.70,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1977,Inflation Headline (%) Year-on-Year,64.20,67.20,80.70,102.90,112.70,144.60,155.40,145.50,141.20,119.30,119.30,106.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1976,Inflation Headline (%) Year-on-Year,44.20,48.90,50.00,46.40,50.60,52.40,62.30,62.50,63.30,62.00,58.10,67.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1975,Inflation Headline (%) Year-on-Year,20.30,19.20,20.30,24.70,24.60,28.80,28.50,30.90,36.40,38.80,39.30,40.40,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1974,Inflation Headline (%) Year-on-Year,23.60,22.90,21.20,19.90,20.50,19.60,14.30,16.50,15.10,16.30,16.70,16.10,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1973,Inflation Headline (%) Year-on-Year,6.00,10.90,11.17,10.72,12.46,5.95,27.30,27.13,25.71,23.78,24.42,25.35,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2023,Gross Domestic Product at Current Prices (Millions of Ghana Cedis),,,,,,,,,,,,,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,1,"202,628.59",0.00,0.00,0.00,
2023,Gross Domestic Product at Current Prices: Non-Oil (Millions of Ghana Cedis),,,,,,,,,,,,,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,1,"193,535.80",0.00,0.00,0.00,
2023,Gross Domestic Product at Constant Prices (Millions of Ghana Cedis),,,,,,,,,,,,,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,1,"48,863.74",0.00,0.00,0.00,
2023,Gross Domestic Product at Constant Prices: Non-Oil (Millions of Ghana Cedis),,,,,,,,,,,,,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,1,"46,548.17",0.00,0.00,0.00,
2023,Gross Domestic Product Growth Rate (%),,,,,,,,,,,,,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,1,4.24,0.00,0.00,0.00,
2023,Gross Domestic Product Growth Rate: Non Oil (%),,,,,,,,,,,,,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,1,5.52,0.00,0.00,0.00,
